fold,date,r2,rmse,mae,n_test
1,2022-04-06,-0.8904564415762899,2.3582009092638905,2.179411430160891,20
2,2022-04-20,-0.02327072267532926,1.6703397717540776,1.4201237595833334,12
3,2022-05-05,-0.007813409860219833,1.5643022361081158,1.1107997948673267,20
4,2022-05-18,-1.4400636533857103,1.9954842186776713,1.5329873253571424,12
5,2022-06-02,-0.9293515442714995,1.8613852436875544,1.2974720542196598,16
6,2022-06-22,-2.4156224457656927,2.2200570843672143,1.8669975170642854,12
7,2022-07-06,-1.6311955177124862,2.035638357189327,1.6027916638373778,16
8,2022-08-03,-3.3055520288279867,2.358083083556189,2.0661729929068624,18
9,2022-08-24,-1.4743536646771087,2.154127634168945,1.668864303365079,12
10,2022-11-03,-0.21809442774435572,2.197925816616744,1.5459273646049503,20
11,2022-11-16,-0.0663469699106638,2.469527064542517,2.1667932050746033,12
12,2022-11-29,-1.4302828742707163e-05,1.6113167188367419,1.4738192823968257,12
13,2022-12-14,-0.2887575782683065,1.6139502509535992,1.2437074995007935,12
14,2023-01-13,-4.642147344847999,6.2015902022248754,5.639203911478155,16
15,2023-03-01,-0.2542304746360078,2.3170634382785376,2.1516863871603173,12
GLOBAL_OOF,ALL,-0.08545363960125818,2.5907637761410243,1.9497527887008042,222
